fpr,tpr,model
0.0,0.0,LR (None)
0.00039308176100628933,0.0,LR (None)
0.00039308176100628933,0.00670712232513574,LR (None)
0.00039308176100628933,0.025976791227509847,LR (None)
0.00039308176100628933,0.02661556478228468,LR (None)
0.0007861635220125787,0.02661556478228468,LR (None)
0.0007861635220125787,0.03140636644309592,LR (None)
0.0011792452830188679,0.03140636644309592,LR (None)
0.0011792452830188679,0.03183221547961248,LR (None)
0.0015723270440251573,0.03183221547961248,LR (None)
0.0015723270440251573,0.03257745129351645,LR (None)
0.0019654088050314465,0.03257745129351645,LR (None)
0.0019654088050314465,0.03406792292132439,LR (None)
0.0023584905660377358,0.03406792292132439,LR (None)
0.0023584905660377358,0.039816884914297884,LR (None)
0.002751572327044025,0.039816884914297884,LR (None)
0.002751572327044025,0.0401362716916853,LR (None)
0.0031446540880503146,0.0401362716916853,LR (None)
0.0031446540880503146,0.04269136591078463,LR (None)
0.003537735849056604,0.04269136591078463,LR (None)
0.003537735849056604,0.048440327903758115,LR (None)
0.003930817610062893,0.048440327903758115,LR (None)
0.003930817610062893,0.04907910145853295,LR (None)
0.004323899371069182,0.04907910145853295,LR (None)
0.004323899371069182,0.053550516341956775,LR (None)
0.0047169811320754715,0.053550516341956775,LR (None)
0.0047169811320754715,0.053763440860215055,LR (None)
0.005110062893081761,0.053763440860215055,LR (None)
0.005110062893081761,0.06036410092622165,LR (None)
0.00550314465408805,0.06036410092622165,LR (None)
0.00550314465408805,0.0637708932183541,LR (None)
0.00589622641509434,0.0637708932183541,LR (None)
0.00589622641509434,0.06611306291919515,LR (None)
0.006289308176100629,0.06611306291919515,LR (None)
0.006289308176100629,0.07047801554348983,LR (None)
0.0066823899371069185,0.07047801554348983,LR (None)
0.0066823899371069185,0.07345895879910572,LR (None)
0.007075471698113208,0.07345895879910572,LR (None)
0.007075471698113208,0.07622697753646332,LR (None)
0.007861635220125786,0.07622697753646332,LR (None)
0.007861635220125786,0.07782391142340041,LR (None)
0.008254716981132075,0.07782391142340041,LR (None)
0.008254716981132075,0.07867560949643351,LR (None)
0.008647798742138365,0.07867560949643351,LR (None)
0.008647798742138365,0.0821888640476951,LR (None)
0.009040880503144654,0.0821888640476951,LR (None)
0.009040880503144654,0.08314702437985734,LR (None)
0.009433962264150943,0.08314702437985734,LR (None)
0.009433962264150943,0.08421164697114873,LR (None)
0.010220125786163521,0.08421164697114873,LR (None)
0.010220125786163521,0.08623442989460237,LR (None)
0.01061320754716981,0.08623442989460237,LR (None)
0.01061320754716981,0.0891089108910891,LR (None)
0.0110062893081761,0.0891089108910891,LR (None)
0.0110062893081761,0.09560310869796657,LR (None)
0.01139937106918239,0.09560310869796657,LR (None)
0.01139937106918239,0.10050037261790695,LR (None)
0.01179245283018868,0.10050037261790695,LR (None)
0.01179245283018868,0.10081975939529436,LR (None)
0.01218553459119497,0.10081975939529436,LR (None)
0.01218553459119497,0.10113914617268178,LR (None)
0.012578616352201259,0.10113914617268178,LR (None)
0.012578616352201259,0.10284254231874801,LR (None)
0.012971698113207548,0.10284254231874801,LR (None)
0.012971698113207548,0.10827211753433408,LR (None)
0.013364779874213837,0.10827211753433408,LR (None)
0.013364779874213837,0.11072074949430427,LR (None)
0.013757861635220126,0.11072074949430427,LR (None)
0.013757861635220126,0.11082721175343341,LR (None)
0.014150943396226415,0.11082721175343341,LR (None)
0.014150943396226415,0.1113595230490791,LR (None)
0.014544025157232705,0.1113595230490791,LR (None)
0.014544025157232705,0.11242414564037048,LR (None)
0.014937106918238994,0.11242414564037048,LR (None)
0.014937106918238994,0.11253060789949963,LR (None)
0.015330188679245283,0.11253060789949963,LR (None)
0.015330188679245283,0.11284999467688704,LR (None)
0.015723270440251572,0.11284999467688704,LR (None)
0.015723270440251572,0.11338230597253274,LR (None)
0.01611635220125786,0.11338230597253274,LR (None)
0.01611635220125786,0.11859895666986053,LR (None)
0.01650943396226415,0.11859895666986053,LR (None)
0.01650943396226415,0.11870541892898967,LR (None)
0.01690251572327044,0.11870541892898967,LR (None)
0.01690251572327044,0.12019589055679762,LR (None)
0.01729559748427673,0.12019589055679762,LR (None)
0.01729559748427673,0.12062173959331417,LR (None)
0.018081761006289308,0.12062173959331417,LR (None)
0.018081761006289308,0.1217928244437347,LR (None)
0.018474842767295597,0.1217928244437347,LR (None)
0.018474842767295597,0.12189928670286383,LR (None)
0.019261006289308175,0.12189928670286383,LR (None)
0.019261006289308175,0.12285744703502609,LR (None)
0.019654088050314465,0.12285744703502609,LR (None)
0.019654088050314465,0.12530607899499627,LR (None)
0.020047169811320754,0.12530607899499627,LR (None)
0.020047169811320754,0.12551900351325454,LR (None)
0.020047169811320754,0.12573192803151284,LR (None)
0.020047169811320754,0.12637070158628766,LR (None)
0.020440251572327043,0.12637070158628766,LR (None)
0.020440251572327043,0.12722239965932078,LR (None)
0.020833333333333332,0.12722239965932078,LR (None)
0.020833333333333332,0.1325455126157777,LR (None)
0.02122641509433962,0.1325455126157777,LR (None)
0.02122641509433962,0.13286489939316512,LR (None)
0.02161949685534591,0.13286489939316512,LR (None)
0.02161949685534591,0.1372298520174598,LR (None)
0.0220125786163522,0.1372298520174598,LR (None)
0.0220125786163522,0.1388267859043969,LR (None)
0.02240566037735849,0.1388267859043969,LR (None)
0.02240566037735849,0.14010433301394656,LR (None)
0.02279874213836478,0.14010433301394656,LR (None)
0.02279874213836478,0.1429788140104333,LR (None)
0.02279874213836478,0.14319173852869158,LR (None)
0.02279874213836478,0.14340466304694985,LR (None)
0.023191823899371068,0.14340466304694985,LR (None)
0.023191823899371068,0.14372404982433729,LR (None)
0.02358490566037736,0.14372404982433729,LR (None)
0.02358490566037736,0.14393697434259556,LR (None)
0.02397798742138365,0.14393697434259556,LR (None)
0.02397798742138365,0.14414989886085383,LR (None)
0.02437106918238994,0.14414989886085383,LR (None)
0.02437106918238994,0.14723730437559884,LR (None)
0.025157232704402517,0.14723730437559884,LR (None)
0.025157232704402517,0.1485148514851485,LR (None)
0.025550314465408806,0.1485148514851485,LR (None)
0.025550314465408806,0.1506440966677313,LR (None)
0.025943396226415096,0.1506440966677313,LR (None)
0.025943396226415096,0.15575428510592995,LR (None)
0.026336477987421385,0.15575428510592995,LR (None)
0.026336477987421385,0.15926753965719154,LR (None)
0.026729559748427674,0.15926753965719154,LR (None)
0.026729559748427674,0.16129032258064516,LR (None)
0.027122641509433963,0.16129032258064516,LR (None)
0.027122641509433963,0.16395187905887362,LR (None)
0.027515723270440252,0.16395187905887362,LR (None)
